,Team1,Team2,Team1 points,Team2 points,1,X,2,Goals,Over,Under
0,FC Hegelmann Litauen Kaunas,FA Siauliai,2,3,9.75,3.70,1.33,"5,5",1.43,2.50
1,GKS Piast Gliwice,Korona Kielce,0,0,1.58,3.10,5.75,"1,5",1.53,2.25
2,First Vienna FC,SK Sturm Graz II,0,0,2.37,3.25,2.40,"2,5",1.58,2.15
3,SV Horn,Kapfenberger SV,0,0,2.00,3.30,3.00,"2,5",1.68,2.00
4,SV Lafnitz,SKU Amstetten,0,0,1.88,3.50,3.50,"2,5",1.70,1.98
5,1. FC Magdeburg,1. FC Nuremberg,NaN,NaN,2.20,3.60,3.00,"2,5",1.58,2.20
6,1. FC Cologne,Hertha BSC,NaN,NaN,1.93,3.70,3.75,"2,5",1.70,2.05
7,Lazio,US Lecce,NaN,NaN,1.66,3.60,5.75,"2,5",2.20,1.60
8,Bayern Munich,Schalke 04,NaN,NaN,1.12,8.50,16.00,"3,5",1.58,2.25
9,Eintracht Frankfurt,FSV Mainz,NaN,NaN,2.10,3.60,3.20,"2,5",1.68,2.05
10,Union Berlin,SC Freiburg,NaN,NaN,2.15,3.20,3.50,"2,5",2.25,1.57
11,VfL Bochum,FC Augsburg,NaN,NaN,2.10,3.50,3.30,"2,5",1.75,1.95
12,VfL Wolfsburg,TSG Hoffenheim,NaN,NaN,1.93,3.80,3.60,"2,5",1.57,2.25
13,Borussia Dortmund,Borussia Monchengladbach,NaN,NaN,1.24,7.00,10.00,"3,5",1.65,2.10
14,RB Leipzig,Werder Bremen,NaN,NaN,1.26,6.50,10.00,"3,5",2.00,1.70
